collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
State University of New York at Fredonia,Fredonia,New York,4-year,Public,Masters Colleges and Universities--medium programs,5092,21.6,22.6,64309,71334,61,97.1,5319,1056,62,5041,27,4444,53,45.3,87,64.4,81,35,39,77.6,62,51.6,30,,,,,,,,,,,,,,,,,,39,70.7
State University of New York College at Geneseo,Geneseo,New York,4-year,Public,Masters Colleges and Universities--smaller programs,5504,22.5,22.6,63813,71334,61,97.9,5370,1274,97,4646,16,3910,48,66.5,97,77.9,94,22.7,10,90.3,93,71.9,70,,,,,,,,,,,,,,,,,,39,73
State University of New York College at New Paltz,New Paltz,New York,4-year,Public,Masters Colleges and Universities--larger programs,6570,25,22.6,55803,71334,45,92.2,6641,1129,81,5892,45,2054,26,50.5,90,70.5,90,28,21,87.2,88,53.5,35,,,,,,,,,,,,,,,,,,39,48.8
State University of New York College at Oneonta,Oneonta,New York,4-year,Public,Masters Colleges and Universities--smaller programs,5800,23.1,22.6,65274,71334,63,97.8,5945,1097,74,5877,45,6137,64,53.5,92,69.8,89,28.7,22,87.4,89,59.2,43,2011,53.8,7,17.3,14.7,67.6,14.5,0.9,5.4,74,7.5,2.5,6.4,75.9,10,0.2,3.5,39,68.7
State University of New York College at Oswego,Oswego,New York,4-year,Public,Masters Colleges and Universities--larger programs,7328,22.9,22.6,58344,71334,51,94.9,7100,1110,78,5565,40,2181,28,39.6,82,57.8,74,39.1,53,78,64,58.3,41,,,,,,,,,,,,,,,,,,39,64.8
State University of New York College at Potsdam,Potsdam,New York,4-year,Public,Masters Colleges and Universities--larger programs,3707,18.2,22.6,84165,71334,82,97,3963,,,6021,48,4926,57,29.8,68,51.3,62,43.7,68,74.3,51,71.1,68,,,,,,,,,,,,,,,,,,39,71.1
State University of New York College at Purchase,Purchase,New York,4-year,Public,Baccalaureate Colleges--Arts & Sciences,4239,23,22.6,98447,71334,87,90.8,4299,1082,70,5890,45,12326,83,50.4,90,59.7,76,31.8,29,82.4,77,39.5,14,2010,40.4,8.6,18,20.1,55.2,16.9,1,9.6,58.4,8.9,6.6,10.9,63.4,14.4,0.8,5.8,39,62
State University of New York College at Old Westbury,Old Westbury,New York,4-year,Public,Baccalaureate Colleges--Arts & Sciences,4161,20.3,22.6,74025,71334,73,85.5,3945,998,38,6254,56,44,1,19.6,42,36.5,26,47.1,77,75.8,57,46.6,21,,,,,,,,,,,,,,,,,,39,40.7
State University of New York College at Plattsburgh,Plattsburgh,New York,4-year,Public,Masters Colleges and Universities--larger programs,5639,23.7,22.6,57572,71334,50,92,5546,1026,49,5553,39,2624,34,40.6,83,60.3,77,35.3,40,83.8,80,55.6,37,,,,,,,,,,,,,,,,,,39,59.8
Empire State College of State University of New York,Saratoga Springs,New York,4-year,Public,Masters Colleges and Universities--medium programs,10827,32.7,22.6,35885,71334,11,39,8993,,,4230,9,1849,23,8,9,15.7,2,35.5,41,49.5,3,17.6,1,,,,,,,,,,,,,,,,,,39,7.6
State University of New York Maritime College,Throggs Neck,New York,4-year,Public,Baccalaureate Colleges--Diverse Fields,1601,14.6,22.6,109659,71334,92,94.8,2004,1056,62,5774,43,2048,26,25.1,59,50.4,58,23.1,10,79.3,68,63,50,,,,,,,,,,,,,,,,,,39,79
Swedish Institute College of Health Sciences,New York,New York,2-year,Private for-profit,Other health professions schools,848,37.1,24.9,60414,44481,92,86.4,500,,,1881,2,,,81.5,96,81.5,91,41.3,11,87.7,96,54.4,68,,,,,,,,,,,,,,,,,,22,85.4
Syracuse University,Syracuse,New York,4-year,Private not-for-profit,Research Universities--high research activity,15097,19,22.8,100270,108407,69,95.5,16852,1158,78,24796,90,49259,78,68.5,85,81.1,89,26.8,27,91.9,90,66.1,69,,,,,,,,,,,,,,,,,,116,89.9
Talmudical Seminary Oholei Torah,Brooklyn,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,321,1.2,22.8,1173681,108407,100,100,283,,,5564,11,,,6.7,3,6.7,1,76.2,94,70.4,36,75,78,,,,,,,,,,,,,,,,,,116,29.3
Technical Career Institutes,New York,New York,2-year,Private for-profit,Associates--Private For-profit,3020,20.3,24.9,54984,44481,90,87.4,4338,,,6615,91,,,16.7,18,24.1,5,85.3,83,41.7,8,43.5,57,,,,,,,,,,,,,,,,,,22,72.9
Tompkins Cortland Community College,Dryden,New York,2-year,Public,Associates--Public Rural-serving Medium,5490,18.7,18,52625,59231,77,47.1,3884,,,3406,28,3826,91,13.3,67,22.2,57,34.4,31,52.8,28,19.8,11,,,,,,,,,,,,,,,,,,35,66
Torah Temimah Talmudical Seminary,Brooklyn,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,180,1.2,22.8,1324957,108407,100,100,180,,,6211,13,,,0,0,2.2,0,31.9,38,48.1,4,100,95,,,,,,,,,,,,,,,,,,116,78
Touro College (N.Y.),New York,New York,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,6827,29.6,22.8,46587,108407,16,75.3,6745,,,5514,11,991,4,30.5,30,47.7,36,58.1,85,46.3,4,36.1,27,,,,,,,,,,,,,,,,,,116,82.2
Trocaire College,Buffalo,New York,4-year,Private not-for-profit,Associates--Private Not-for-profit,1492,34.5,22.8,39049,108407,10,45.2,1082,,,4762,8,9132,31,,,,,53.6,81,,,32.5,21,,,,,,,,,,,,,,,,,,116,41.3
Ulster County Community College,Stone Ridge,New York,2-year,Public,Associates--Public Rural-serving Medium,3615,21.1,18,52023,59231,76,45.8,2207,,,4951,80,3015,86,12.3,63,24.8,66,27.2,16,60.4,62,32.9,50,,,,,,,,,,,,,,,,,,35,60.2
Union College (N.Y.),Schenectady,New York,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,2246,24.7,22.8,188650,108407,93,99.1,2075,1313,92,26624,92,172819,93,81.8,94,88,95,15.6,7,91.7,90,85.8,88,,,,,,,,,,,,,,,,,,116,94
United Talmudical Seminary,Brooklyn,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,1814,13.5,22.8,61631,108407,33,100,1272,,,10629,32,,,0,0,43.3,27,89.5,98,88.7,85,30.5,19,,,,,,,,,,,,,,,,,,116,93.4
United States Merchant Marine Academy,Kings Point,New York,4-year,Public,Baccalaureate Colleges--Diverse Fields,958,14.1,22.6,247945,71334,100,100,1427,,,5352,35,,,62.1,96,73.6,92,7.6,0,97.3,99,86.4,93,,,,,,,,,,,,,,,,,,39,96.1
Utica College,Utica,New York,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,2881,22.6,22.8,57761,108407,29,77.4,2388,946,14,17589,70,6923,23,29.7,28,47.2,35,38.2,52,71.9,41,33.9,23,,,,,,,,,,,,,,,,,,116,66.3
USC The Business College at Utica,Utica,New York,2-year,Private for-profit,Associates--Private For-profit,324,30,24.9,39242,44481,81,68.5,367,,,6852,93,,,39.8,51,39.8,17,66.5,44,66,44,26.4,29,,,,,,,,,,,,,,,,,,22,63.8
Vassar College,Poughkeepsie,New York,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,2477,25.4,22.8,233206,108407,96,98.4,2469,1394,96,38545,100,351860,97,89.7,99,93.6,98,22,18,95.6,95,86,88,,,,,,,,,,,,,,,,,,116,94.4
Villa Maria College of Buffalo,Buffalo,New York,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates,465,21.8,22.8,70246,108407,42,76.6,352,,,6443,14,3906,13,25,20,25,7,74.7,93,59,14,40.8,33,,,,,,,,,,,,,,,,,,116,62.9
School of Visual Arts,New York,New York,4-year,Private for-profit,Schools of art- music- and design,3636,21.4,22.6,100887,54039,91,92.1,3516,1020,67,10995,99,,,55.3,94,64.6,93,24.5,1,82.9,85,14,36,,,,,,,,,,,,,,,,,,17,66.3
Wagner College,Staten Island,New York,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,1842,24.5,22.8,101674,108407,70,95.8,1726,1154,77,19612,77,36002,69,53,66,61.4,62,19,12,88,84,34,24,,,,,,,,,,,,,,,,,,116,93.2
Wells College,Aurora,New York,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,534,21.2,22.8,179340,108407,92,98.1,488,1075,57,33732,98,55802,80,56.3,72,58,56,48.5,73,72.6,43,61.3,62,,,,,,,,,,,,,,,,,,116,79.1
College of Westchester,White Plains,New York,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,1197,21.9,22.6,64826,54039,72,79.2,1066,,,7967,96,,,,,,,69.8,53,58.8,57,41.8,87,,,,,,,,,,,,,,,,,,17,91.7
Westchester Community College,Valhalla,New York,2-year,Public,Associates--Public Suburban-serving Single Campus,13781,14.1,18,87756,59231,96,55.4,10278,,,5016,82,,,3.4,12,13.9,25,35,32,63.6,76,15.1,3,,,,,,,,,,,,,,,,,,35,49.7
Wood Tobe-Coburn School,New  York,New York,2-year,Private for-profit,Associates--Private For-profit,476,45.4,24.9,24880,44481,55,100,631,,,6560,91,,,81,95,81,91,87.9,88,79.9,82,16.7,12,,,,,,,,,,,,,,,,,,22,100
Yeshiva Karlin Stolin,Brooklyn,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,119,9.5,22.8,68246,108407,40,100,119,,,9008,25,,,0,0,60,60,90.2,99,66.7,26,66.7,70,,,,,,,,,,,,,,,,,,116,27.3
Yeshivat Mikdash Melech,Brooklyn,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,152,3.6,22.8,492143,108407,99,100,198,,,12330,41,,,0,0,6.1,1,44.4,65,62.8,19,88.9,90,,,,,,,,,,,,,,,,,,116,86.8
Yeshiva Derech Chaim,Brooklyn,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,104,8.6,22.8,337502,108407,99,100,100,,,9332,26,,,0,0,33.3,12,46.5,70,76.2,53,61.9,63,,,,,,,,,,,,,,,,,,116,48
Yeshiva of Nitra Rabbinical College,Mount Kisco,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,220,7.9,22.8,89799,108407,60,100,231,,,9535,27,,,0,0,28.1,8,76.8,94,78.3,58,90.9,92,,,,,,,,,,,,,,,,,,116,100
Yeshiva University,New York,New York,4-year,Private not-for-profit,Research Universities--very high research activity,2887,34.2,22.8,174042,108407,91,96.4,2606,1217,86,20350,80,180152,93,60,76,85.2,93,18.1,11,92.9,91,79.3,82,,,,,,,,,,,,,,,,,,116,94
Yeshivath Viznitz,Monsey,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,470,14,22.8,16321,108407,2,100,450,,,9359,26,7252,24,0,0,74.2,82,87.1,98,97.8,98,88.9,90,,,,,,,,,,,,,,,,,,116,100
Yeshivath Gedolah Zichron Moshe,South Fallsburgh,New York,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,164,2.3,22.8,299068,108407,98,100,197,,,7664,19,,,0,0,0,0,59.5,86,88.2,84,88.9,90,,,,,,,,,,,,,,,,,,116,1.3
College of the Albemarle,Elizabeth City,North Carolina,2-year,Public,Associates--Public Rural-serving Medium,2607,16.4,14.8,48295,37924,70,44.9,1970,,,4962,81,2066,78,19.4,83,19.4,47,39.9,45,61.4,67,30,42,,,,,,,,,,,,,,,,,,59,29.4
Art Institute of Charlotte,Charlotte,North Carolina,4-year,Private for-profit,Schools of art- music- and design,1427,17.3,19.5,104025,58286,92,57.3,1242,,,4218,43,,,35.5,79,40.8,80,75.7,75,37.5,16,33.7,79,,,,,,,,,,,,,,,,,,12,50.9
South Piedmont Community College,Polkton,North Carolina,2-year,Public,Associates--Public Rural-serving Medium,2776,15.5,14.8,45591,37924,64,27.4,1782,,,4806,76,763,49,5.2,25,34.9,89,62.4,91,54,33,29.5,40,,,,,,,,,,,,,,,,,,59,24.4
Appalachian State University,Boone,North Carolina,4-year,Public,Masters Colleges and Universities--larger programs,16025,21,21.1,47683,74454,26,94.3,15858,1156,86,6819,66,4526,54,41.5,84,68.6,88,25.9,16,87.2,88,71,68,2010,38,3.5,35.5,14.1,65.5,10.1,3.3,6.3,68.8,4.5,9.5,5.2,74.8,6.4,1.8,4.4,16,71.8
Asheville-Buncombe Technical Community College,Asheville,North Carolina,2-year,Public,Associates--Public Rural-serving Large,8092,13.8,14.8,31837,37924,33,32.6,6992,,,3371,26,,,5.7,29,17.9,40,43,53,58.5,54,31.3,46,,,,,,,,,,,,,,,,,,59,10.5
Barton College,Wilson,North Carolina,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1057,21.6,21.4,74655,148420,47,85.1,1014,939,13,13268,47,24393,59,40.6,46,48.4,38,49.6,76,68.7,31,65.1,68,,,,,,,,,,,,,,,,,,43,99.5
Beaufort County Community College,Washington,North Carolina,2-year,Public,Associates--Public Rural-serving Small,2019,16,14.8,39685,37924,51,42.9,1512,,,7669,99,1185,63,7.8,40,17.7,39,53,77,45.2,8,26.3,30,,,,,,,,,,,,,,,,,,59,29.6
Belmont Abbey College,Belmont,North Carolina,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1647,21.2,21.4,75793,148420,48,94,1535,977,22,12254,40,5529,19,32.9,34,38.1,18,46.1,69,65,23,58.1,58,,,,,,,,,,,,,,,,,,43,44.7
Bennett College for Women,Greensboro,North Carolina,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,680,15.8,21.4,145835,148420,86,89.6,703,,,21493,84,16115,47,25.1,21,44.4,30,71.9,93,60.9,16,82.2,85,,,,,,,,,,,,,,,,,,43,93.3
Bladen Community College,Dublin,North Carolina,2-year,Public,Associates--Public Rural-serving Small,1199,13.4,14.8,38630,37924,48,45,1186,,,2287,5,261,26,3.7,13,12.3,17,69.9,96,47.2,11,36.9,62,,,,,,,,,,,,,,,,,,59,25.4
Blue Ridge Community College (N.C.),Flat Rock,North Carolina,2-year,Public,Associates--Public Rural-serving Medium,2324,12.9,14.8,47405,37924,68,30.9,1931,,,7656,99,4658,93,7.7,39,17.1,37,38.4,42,66.7,84,25.9,28,,,,,,,,,,,,,,,,,,59,36.4
Brevard College,Brevard,North Carolina,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,701,19.2,21.4,117043,148420,77,98.4,626,950,15,16196,63,34639,69,31.4,32,43.2,27,41.5,59,56.6,11,59.1,59,,,,,,,,,,,,,,,,,,43,71.3
