collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
University of Hawaii Maui College,Kahului,Hawaii,4-year,Public,Associates--Public 4-year Primarily Associates,4076,21.3,22.7,64939,96333,63,35.8,2492,,,3895,5,119,3,,,,,46.5,76,,,36.9,11,,,,,,,,,,,,,,,,,,4,26.8
University of Hawaii-West Oahu,Kapolei,Hawaii,4-year,Public,Baccalaureate Colleges--Diverse Fields,2361,28.8,22.7,74771,96333,74,44.2,1303,891,7,4491,13,125,3,6.2,5,25,9,35.1,39,67.7,29,47.8,23,,,,,,,,,,,,,,,,,,4,6
University of Hawaii Windward Community College,Kaneohe,Hawaii,2-year,Public,Associates--Public 2-year colleges under 4-year universities,2799,12.7,18.7,114131,57930,98,34.3,1481,,,4349,63,,,3.5,12,11.8,15,37.6,40,60.5,63,44.9,77,,,,,,,,,,,,,,,,,,6,25.9
Carrington College at Boise,Boise,Idaho,2-year,Private for-profit,Associates--Private For-profit,552,55.5,55.5,45703,45703,86,89.9,527,,,3791,23,,,11.8,13,66.3,63,64.3,37,67.6,49,41.3,53,,,,,,,,,,,,,,,,,,1,
Boise Bible College,Boise,Idaho,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,186,19.1,18,36204,40571,9,89.8,182,977,22,6400,14,,,23.1,17,42.3,25,62.1,88,66,25,66.7,70,,,,,,,,,,,,,,,,,,4,68.6
Boise State University,Boise,Idaho,4-year,Public,Masters Colleges and Universities--larger programs,19026,18.7,19,48958,56076,28,65.4,14986,1050,59,4125,8,4948,57,10.9,17,38.3,30,37.2,45,71.3,41,55.5,37,,,,,,,,,,,,,,,,,,4,57.4
Eastern Idaho Technical College,Idaho Falls,Idaho,2-year,Public,Associates--Public Rural-serving Small,725,38.3,16.3,46207,38731,66,40.6,531,,,3306,25,1487,68,35.4,96,58.5,98,72.4,97,62.2,70,19.3,9,,,,,,,,,,,,,,,,,,4,19
Idaho State University,Pocatello,Idaho,4-year,Public,Research Universities--high research activity,11418,18.3,19,59914,56076,54,61.4,8853,,,5041,27,3835,47,11.4,18,30.6,17,47.5,78,68.5,32,71.7,70,,,,,,,,,,,,,,,,,,4,37
University of Idaho,Moscow,Idaho,4-year,Public,Research Universities--high research activity,9540,19.3,19,63045,56076,59,84,9214,1070,65,7546,78,19308,89,24.9,58,53.8,67,39.9,56,78.6,66,77.9,80,2011,23,3.4,36.3,16.9,50.9,10.5,4.8,10.4,57.2,5.4,11.8,5.5,64.6,7.9,3,4.1,4,70.6
College of Idaho,Caldwell,Idaho,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1095,19.6,18,86403,40571,57,96.3,1026,1070,55,22418,86,92003,86,53.6,68,66.5,72,36.2,48,88,84,64.3,66,,,,,,,,,,,,,,,,,,4,76.7
Lewis-Clark State College,Lewiston,Idaho,4-year,Public,Baccalaureate Colleges--Diverse Fields,4304,21.2,19,52115,56076,35,56.8,3199,936,15,4807,21,1610,19,8.6,11,24,8,41.7,63,59.8,10,63.1,50,,,,,,,,,,,,,,,,,,4,62.8
"ITT Technical Institute (Boise, Idaho)",Boise,Idaho,4-year,Private for-profit,Other technology-related schools,251,41,30.3,33095,43878,27,69.3,298,,,4188,41,,,7.1,13,7.1,3,71.1,58,,,25,66,,,,,,,,,,,,,,,,,,3,81.5
North Idaho College,Coeur d'Alene,Idaho,2-year,Public,Associates--Public Rural-serving Medium,6029,18.5,16.3,38168,38731,47,50.9,4684,,,6110,92,3463,88,12,62,23.4,61,48.8,67,54.8,36,34.1,54,,,,,,,,,,,,,,,,,,4,43.2
Northwest Nazarene University,Nampa,Idaho,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,1488,18.7,18,49768,40571,20,76.3,1711,1079,58,13960,51,12430,40,31.8,33,49.1,39,37.3,50,76,52,48.3,45,,,,,,,,,,,,,,,,,,4,61.8
Brigham Young University-Idaho,Rexburg,Idaho,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,27692,17.9,18,37442,40571,9,51.9,30522,1036,43,5560,11,2580,9,21.6,15,53.6,47,38.8,54,67.5,29,43.5,37,,,,,,,,,,,,,,,,,,4,81.4
College of Southern Idaho,Twin Falls,Idaho,2-year,Public,Associates--Public Rural-serving Large,8330,18.8,16.3,26851,38731,20,32.8,5051,,,5752,90,,,7.4,38,18.4,43,34.4,31,56.3,44,45.9,79,,,,,,,,,,,,,,,,,,4,36.4
American Academy of Art,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,406,14.8,28.6,115799,40421,94,73.6,384,,,6122,91,,,32.3,74,42.4,80,48.4,12,81.5,85,100,98,,,,,,,,,,,,,,,,,,19,80.7
School of the Art Institute of Chicago,Chicago,Illinois,4-year,Private not-for-profit,Schools of art- music- and design,2714,21.1,24.2,122834,99440,80,91,2498,,,12190,40,51665,79,31.4,32,54,48,25.2,23,81.9,70,21.7,9,,,,,,,,,,,,,,,,,,50,100
Augustana College (Ill.),Rock Island,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,2524,21.3,24.2,109421,99440,74,99.4,2555,,,19940,78,50005,78,73.6,89,78.4,87,19.3,13,85.1,77,65.4,68,,,,,,,,,,,,,,,,,,50,93.4
Aurora University,Aurora,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,3246,23.4,24.2,40356,99440,12,87.9,3013,1011,33,11435,35,9032,30,43.6,51,57.6,55,39.1,55,73.5,45,23.4,11,,,,,,,,,,,,,,,,,,50,49.8
Southwestern Illinois College,Belleville,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,11332,16.5,14.6,25814,33727,18,43.1,9085,,,4996,81,357,33,11.5,59,27.2,74,36,36,64.3,79,22,16,,,,,,,,,,,,,,,,,,48,38
Black Hawk College,Moline,Illinois,2-year,Public,Associates--Public Rural-serving Large,6574,12.4,14.6,50357,33727,73,39.3,5086,,,4988,81,865,54,9.9,51,18.7,44,34.3,31,58.7,54,41.4,70,,,,,,,,,,,,,,,,,,48,37
Blackburn College,Carlinville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,543,18.8,24.2,117792,99440,78,96.3,541,1034,42,8417,22,27143,62,33.7,36,45.1,32,52.7,80,73.3,44,58.5,58,,,,,,,,,,,,,,,,,,50,81.6
Bradley University,Peoria,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,4825,23.6,24.2,79489,99440,51,95.7,4726,1163,79,13689,49,49328,78,54.9,70,75.6,84,26.8,27,88.1,84,59.9,60,,,,,,,,,,,,,,,,,,50,77.6
Carl Sandburg College,Galesburg,Illinois,2-year,Public,Associates--Public Rural-serving Medium,2328,21.8,14.6,52856,33727,77,44.1,1784,,,5982,91,5482,95,11.7,61,25.7,69,48.4,66,50.7,20,27.5,33,,,,,,,,,,,,,,,,,,48,39.8
Chicago State University,Chicago,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,4340,19.4,24.3,114762,90406,93,65.7,3602,892,8,6934,69,746,8,4,2,20.7,5,68.7,97,53.6,5,71.2,68,,,,,,,,,,,,,,,,,,11,29.7
University of Chicago,Chicago,Illinois,4-year,Private not-for-profit,Research Universities--very high research activity,5703,24.5,24.2,313403,99440,98,98.7,5619,1504,100,30502,96,429800,97,87.9,98,92.7,97,14.2,5,99.3,99,84.2,86,,,,,,,,,,,,,,,,,,50,96.9
City Colleges of Chicago Kennedy-King College,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,5860,11.3,14.6,45487,33727,64,56.1,5044,,,4375,64,,,21.4,86,25.9,70,55.4,81,49.6,17,30.5,44,,,,,,,,,,,,,,,,,,48,46.1
City Colleges of Chicago Malcolm X College,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,6842,8,14.6,50204,33727,73,44.5,5494,,,4046,54,,,3.3,11,8.4,6,49.5,70,38.2,2,27.3,33,,,,,,,,,,,,,,,,,,48,24.9
City Colleges of Chicago Olive-Harvey College,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,5298,8.1,14.6,13182,33727,2,36.6,4110,,,4077,55,,,0.9,1,8.8,7,44.7,58,44.5,7,33,51,,,,,,,,,,,,,,,,,,48,46
City Colleges of Chicago Harry S Truman College,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,11800,6.6,14.6,41534,33727,55,26,9050,,,3794,42,,,3.2,10,11.8,15,24,10,45.4,8,24,22,,,,,,,,,,,,,,,,,,48,27.7
City Colleges of Chicago Richard J. Daley College,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,9384,6.8,14.6,37779,33727,46,40.1,7497,,,3869,46,,,2.1,4,8.2,5,29.2,19,47.2,11,20.1,11,,,,,,,,,,,,,,,,,,48,22.4
City Colleges of Chicago Harold Washington College,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,9036,7.9,14.6,29183,33727,25,67.1,6987,,,4286,61,,,1.4,2,8.7,6,51.6,75,51.2,22,32,48,,,,,,,,,,,,,,,,,,48,55.8
City Colleges of Chicago Wilbur Wright College,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,12640,11.2,14.6,31608,33727,32,34.7,8683,,,3665,37,,,2.2,5,13.9,25,33.8,30,57.1,47,24.9,25,,,,,,,,,,,,,,,,,,48,34.7
Columbia College Chicago,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,9671,21.7,24.2,83017,99440,54,90.2,9340,,,8431,22,13111,41,31.9,33,40.6,23,38,52,66.6,26,27.3,15,,,,,,,,,,,,,,,,,,50,53.8
Concordia University Chicago,River Forest,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,1604,19.1,24.2,26296,99440,4,92.8,1427,1030,39,14472,54,4808,16,44.8,54,53.5,47,45.2,67,67.3,28,61.7,63,,,,,,,,,,,,,,,,,,50,69.5
Le Cordon Bleu College of Culinary Arts - Chicago,Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,958,27.6,34.4,19635,27386,40,100,1590,,,5239,78,,,23,26,47.9,25,60.2,30,65.8,44,65.6,80,,,,,,,,,,,,,,,,,,11,
Coyne College,Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,590,36.3,34.4,22763,27386,48,100,1549,,,2906,5,,,36.6,47,56.2,39,80,74,66.4,46,82.8,90,,,,,,,,,,,,,,,,,,11,
Danville Area Community College,Danville,Illinois,2-year,Public,Associates--Public Rural-serving Large,4035,17.4,14.6,26705,33727,20,29.1,2229,,,3028,18,3566,89,18.9,82,28.7,77,33.3,28,56.3,44,43.6,74,,,,,,,,,,,,,,,,,,48,43.9
DePaul University,Chicago,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,16420,23.3,24.2,64199,99440,35,82.8,15773,1163,79,15332,58,17773,50,54.2,69,70.5,78,34.5,44,85.4,78,50.3,47,,,,,,,,,,,,,,,,,,50,62.5
College of DuPage,Glen Ellyn,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,28627,11.9,14.6,45166,33727,64,34.6,18910,,,4876,78,247,25,4.3,18,15.9,32,24.6,11,68.3,87,18.1,8,,,,,,,,,,,,,,,,,,48,36.6
East-West University,Chicago,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,684,16.7,24.2,48661,99440,18,97.8,780,,,3872,4,,,7,3,10.6,2,69.3,91,29.8,1,27.7,16,,,,,,,,,,,,,,,,,,50,72.8
Eastern Illinois University,Charleston,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,8347,25.3,24.3,67549,90406,66,87.8,8235,1010,43,7165,73,4361,52,33.6,74,60.3,77,39.2,53,77.1,61,80.3,84,2011,35.9,1.8,52.3,5.4,74,5.4,4.4,5,73.5,1.8,14.7,3,82.8,2.8,1,2.6,11,58.1
Elgin Community College,Elgin,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,11285,17.1,14.6,43159,33727,59,33.5,8173,,,3018,17,375,34,11.2,58,28.7,77,40.3,46,76.7,98,21.4,15,,,,,,,,,,,,,,,,,,48,35.6
Elmhurst College,Elmhurst,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,2900,24.4,24.2,73643,99440,47,94.3,3200,1084,60,23847,88,26608,61,59.1,75,74,82,32,38,78.2,58,45.9,41,,,,,,,,,,,,,,,,,,50,59.8
Eureka College,Eureka,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,692,22.2,24.2,77122,99440,49,93.1,719,1053,49,14440,54,22303,57,43.4,51,60.7,61,39,54,64.1,21,48.1,44,,,,,,,,,,,,,,,,,,50,54.2
Fox College,Bedford Park,Illinois,2-year,Private for-profit,Associates--Private For-profit,387,47.4,34.4,26808,27386,59,100,434,,,6124,89,,,1.1,0,74.2,81,63.3,35,82.4,86,66.7,81,,,,,,,,,,,,,,,,,,11,36
Greenville College,Greenville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1129,27,24.2,57991,99440,29,96.5,1232,1033,41,13029,45,10621,35,41,47,50.5,41,36.7,49,72.9,44,32.6,22,,,,,,,,,,,,,,,,,,50,64.5
Harrington College of Design,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,381,30.9,28.6,96392,40421,89,43.8,377,,,5424,82,,,21.1,52,32.4,64,45,10,33.3,8,12.5,33,,,,,,,,,,,,,,,,,,19,20.1
Hebrew Theological College,Skokie,Illinois,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,521,5.9,24.2,180250,99440,92,83.5,515,1019,35,5925,12,1806,6,3.2,1,4.8,0,51.7,79,21.8,0,24,12,,,,,,,,,,,,,,,,,,50,93.4
Highland Community College (Ill.),Freeport,Illinois,2-year,Public,Associates--Public Rural-serving Medium,2031,24.2,14.6,54533,33727,79,51.7,1383,,,4713,74,5597,96,20.8,85,36.6,91,44.2,56,61.4,67,31.3,46,,,,,,,,,,,,,,,,,,48,56.6
University of Illinois at Chicago,Chicago,Illinois,4-year,Public,Research Universities--very high research activity,16671,23.1,24.3,140990,90406,97,92.4,15972,1092,74,12029,96,7841,71,29.9,69,56.7,73,49.1,81,79.8,68,62,48,,,,,,,,,,,,,,,,,,11,66.2
Benedictine University,Lisle,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,3828,24.7,24.2,35962,99440,9,79.8,3601,1030,39,11620,37,2168,7,37.9,42,52.5,45,36.4,48,73.2,44,23.3,11,,,,,,,,,,,,,,,,,,50,46.1
University of Illinois at Urbana-Champaign,Champaign,Illinois,4-year,Public,Research Universities--very high research activity,32695,22.3,24.3,95291,90406,87,96.4,34295,1303,99,11051,95,21391,91,68.4,98,83.9,98,20.2,6,93.1,97,70.9,68,2008,64.1,2.2,22.3,7.5,81.6,6.4,1,3.8,82.5,4.2,3.2,3.7,84,6.2,0.6,2.6,11,88.9
Illinois Wesleyan University,Bloomington,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,2009,22.4,24.2,120659,99440,79,99.6,2010,1241,88,18143,72,116710,89,72.1,88,78.1,86,18.8,12,87.6,83,71.4,75,,,,,,,,,,,,,,,,,,50,94.7
Illinois Central College,East Peoria,Illinois,2-year,Public,Associates--Public Rural-serving Large,10770,19.5,14.6,41305,33727,55,36.8,7158,,,3483,31,1949,75,7.9,41,23.2,60,29.9,20,60.5,63,30.5,44,,,,,,,,,,,,,,,,,,48,31.6
Illinois College,Jacksonville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1010,20.1,24.2,125504,99440,81,97.1,1033,1024,37,17979,72,135452,91,55.8,71,63.6,67,33.2,40,81.3,68,75.7,79,,,,,,,,,,,,,,,,,,50,84.4
Illinois Eastern Community Colleges Olney Central College,Olney,Illinois,2-year,Public,Associates--Public Rural-serving Medium,1470,37.6,14.6,14395,33727,4,46.3,1260,,,3091,19,,,30.6,94,37.1,91,41.2,48,68.7,88,48.4,82,,,,,,,,,,,,,,,,,,48,54.3
Illinois Institute of Technology,Chicago,Illinois,4-year,Private not-for-profit,Research Universities--high research activity,2926,20.5,24.2,72853,99440,45,92.7,2825,1252,89,24558,89,28531,64,31.5,32,62.5,65,31.7,37,86,79,100,95,,,,,,,,,,,,,,,,,,50,99.8
Argosy University-Chicago,Chicago,Illinois,4-year,Private for-profit,Doctoral/Research Universities,296,9.5,28.6,66870,40421,73,24.7,238,,,3820,21,,,0,0,0,0,70.1,55,36.4,16,13.7,36,,,,,,,,,,,,,,,,,,19,1.6
Illinois State University,Normal,Illinois,4-year,Public,Doctoral/Research Universities,17749,25.3,24.3,64878,90406,62,94,17086,1110,78,3918,6,4015,49,46.4,88,71.6,91,25.6,15,81.6,74,71.2,68,,,,,,,,,,,,,,,,,,11,64.5
Illinois Valley Community College,Oglesby,Illinois,2-year,Public,Associates--Public Rural-serving Large,3705,21.6,14.6,19008,33727,8,40.5,2747,,,3823,43,,,11.9,61,30.1,82,35.4,33,62.9,73,36.6,62,,,,,,,,,,,,,,,,,,48,28.2
International Academy of Design and Technology Chicago,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,346,22.6,28.6,186353,40421,98,72.3,514,,,5273,79,,,13.3,31,16.8,27,76.2,76,39.1,19,20.5,55,,,,,,,,,,,,,,,,,,19,71.7
John A. Logan College,Carterville,Illinois,2-year,Public,Associates--Public Rural-serving Large,7150,19.2,14.6,23528,33727,14,29.2,3995,,,2818,12,1280,64,13.1,66,25.6,69,34.5,31,59.4,58,33.1,51,,,,,,,,,,,,,,,,,,48,24.6
John Wood Community College,Quincy,Illinois,2-year,Public,Associates--Public Rural-serving Medium,1923,23.3,14.6,35840,33727,42,49.7,1633,,,4405,65,733,48,17.9,80,30.8,83,50.4,71,60.7,64,21.3,14,,,,,,,,,,,,,,,,,,48,44.7
Joliet Junior College,Joliet,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,16869,15.2,14.6,60407,33727,85,34.7,11401,,,3549,33,927,55,4,15,12.6,19,24.7,11,63.7,77,24.6,24,,,,,,,,,,,,,,,,,,48,40.7
Judson University (Ill.),Elgin,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1066,24.4,24.2,56692,99440,28,73.5,1017,1045,45,13800,50,11061,36,32.1,33,50,40,43.7,64,72.3,42,41.1,33,,,,,,,,,,,,,,,,,,50,40.1
Kankakee Community College,Kankakee,Illinois,2-year,Public,Associates--Public Rural-serving Large,3825,16,14.6,31201,33727,31,41.8,2969,,,5216,84,1724,72,8,42,19.7,48,47.3,64,69.3,89,26,29,,,,,,,,,,,,,,,,,,48,30
Kaskaskia College,Centralia,Illinois,2-year,Public,Associates--Public Rural-serving Large,5258,22.3,14.6,19218,33727,8,37.1,3867,,,7176,97,1723,71,33,95,46.2,96,33.2,28,55,38,28.6,37,,,,,,,,,,,,,,,,,,48,28.9
Kendall College,Chicago,Illinois,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,1659,25.4,28.6,71700,40421,77,56.5,1651,,,5722,86,,,23.6,57,28.3,57,44.5,9,56.5,54,14.4,39,,,,,,,,,,,,,,,,,,19,32.7
Kishwaukee College,Malta,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,4717,18,14.6,40538,33727,53,49.8,3356,,,5373,86,310,31,7.8,40,18.5,43,36.9,38,59.6,59,28,35,,,,,,,,,,,,,,,,,,48,40.8
Knox College,Galesburg,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1424,22.8,24.2,118098,99440,78,98.3,1408,,,20888,82,70137,83,71,87,79.5,88,27.6,29,88.1,84,79.9,83,,,,,,,,,,,,,,,,,,50,88.2
College of Lake County,Grayslake,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,17685,15,14.6,16652,33727,5,26.9,11041,,,3215,22,94,10,4.3,18,16.7,35,19.3,5,65,81,21.5,15,,,,,,,,,,,,,,,,,,48,31
Lake Forest College,Lake Forest,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1590,20.7,24.2,122196,99440,80,98.8,1590,1157,78,25412,90,48680,77,58.4,74,63.8,68,32.9,40,82.2,71,56.2,55,,,,,,,,,,,,,,,,,,50,84.4
Lake Land College,Mattoon,Illinois,2-year,Public,Associates--Public Rural-serving Large,6351,17.5,14.6,16523,33727,5,44.2,7499,,,2850,13,0,0,18.7,81,29.9,81,32.2,26,65.2,81,48.8,83,,,,,,,,,,,,,,,,,,48,26.9
Lewis and Clark Community College,Godfrey,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,8520,21.4,14.6,36719,33727,44,28.4,4189,,,3551,33,,,4.1,16,13.4,23,32.1,25,65.9,83,29.4,40,,,,,,,,,,,,,,,,,,48,14.9
Lewis University,Romeoville,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,4613,24.7,24.2,53921,99440,25,80.7,4313,1088,61,12141,40,8364,27,44.8,54,62.5,65,31.4,36,81.7,69,34.7,25,,,,,,,,,,,,,,,,,,50,56.4
Lincoln Christian University,Lincoln,Illinois,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,623,24.3,24.2,40349,99440,12,82,569,996,27,6790,15,11240,37,31.4,32,42.2,25,51.6,79,67.1,28,38.1,30,,,,,,,,,,,,,,,,,,50,70.6
Lincoln College,Lincoln,Illinois,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,1240,27.2,24.2,48350,99440,18,64.4,1124,850,3,9830,27,35491,69,,,,,60,87,42.5,2,37,28,,,,,,,,,,,,,,,,,,50,70.3
Lincoln Land Community College,Springfield,Illinois,2-year,Public,Associates--Public Rural-serving Large,7020,17,14.6,26202,33727,19,42.5,5460,,,4834,77,647,46,12.1,62,25.3,68,33,27,60.2,61,34.8,57,,,,,,,,,,,,,,,,,,48,41.5
Lincoln College of Technology at Melrose Park,Melrose Park,Illinois,2-year,Private for-profit,Associates--Private For-profit,617,60.7,34.4,16596,27386,31,100,983,,,4530,58,,,21.6,23,48.7,27,79.2,72,69,52,83,90,,,,,,,,,,,,,,,,,,11,
Loyola University Chicago,Chicago,Illinois,4-year,Private not-for-profit,Research Universities--high research activity,10168,22.2,24.2,81146,99440,52,91.8,10138,1195,83,16820,67,31599,67,59.7,76,71,79,29.9,33,85.4,78,55,53,,,,,,,,,,,,,,,,,,50,73.2
Trinity College of Nursing & Health Sciences,Rock Island,Illinois,4-year,Private not-for-profit,Other health professions schools,234,46,24.2,50138,99440,20,48.7,172,,,3859,4,12134,39,0,0,0,0,34.5,44,,,83.3,85,,,,,,,,,,,,,,,,,,50,100
MacCormac College,Chicago,Illinois,2-year,Private not-for-profit,Associates--Private Not-for-profit,215,19.4,26.8,80225,74074,85,48.4,150,,,5177,63,,,0,0,36.8,35,64.4,57,29.6,2,12.1,3,,,,,,,,,,,,,,,,,,2,23.3
MacMurray College,Jacksonville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,571,19.7,24.2,110308,99440,74,90.5,562,964,18,12298,41,15519,46,28,25,38.4,19,58.2,85,67.1,28,54.8,53,,,,,,,,,,,,,,,,,,50,59
McHenry County College,Crystal Lake,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,7023,16.2,14.6,31866,33727,33,37.6,4886,,,3803,42,689,47,8.5,46,24.1,64,23.9,10,67.5,86,29.2,40,,,,,,,,,,,,,,,,,,48,30.8
McKendree University,Lebanon,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,2358,25.3,24.2,39073,99440,11,75.3,2046,1046,46,13161,46,12043,39,31.5,32,48.3,37,37.9,51,74.7,48,34.4,24,,,,,,,,,,,,,,,,,,50,41.3
Methodist College,Peoria,Illinois,4-year,Private not-for-profit,Other health professions schools,508,26.5,24.2,58106,99440,30,68.9,619,1030,39,8791,23,1173,4,,,,,47.2,71,67.9,30,57.6,56,,,,,,,,,,,,,,,,,,50,
Midstate College,Peoria,Illinois,4-year,Private for-profit,Baccalaureate/Associates Colleges,543,35,28.6,43012,40421,49,33.7,453,,,4383,51,,,,,,,67.9,47,,,33.8,79,,,,,,,,,,,,,,,,,,19,9.8
Millikin University,Decatur,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,2153,21.5,24.2,82798,99440,53,94.9,2305,1087,61,18109,72,47043,77,48,59,59.6,59,38.8,54,76.5,54,58.3,58,,,,,,,,,,,,,,,,,,50,70.5
Monmouth College,Monmouth,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1255,21.6,24.2,94322,99440,64,99.1,1252,1049,48,20835,82,69676,83,56.7,72,58.3,57,44.3,65,75.9,52,66.9,71,,,,,,,,,,,,,,,,,,50,88.5
Moody Bible Institute,Chicago,Illinois,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,3103,18.3,24.2,73112,99440,46,77.8,2813,,,7241,17,11579,38,64.6,81,84.3,92,26.8,27,77.8,57,40.7,33,,,,,,,,,,,,,,,,,,50,
Moraine Valley Community College,Palos Hills,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,16106,15.8,14.6,35446,33727,41,42,12008,,,4953,80,,,6,31,20.5,52,27,15,68.4,88,24.3,23,,,,,,,,,,,,,,,,,,48,38.9
Morrison Institute of Technology,Morrison,Illinois,2-year,Private not-for-profit,Associates--Private Not-for-profit,103,39.8,26.8,66385,74074,79,100,45,,,5715,69,,,77.4,87,77.4,85,57.3,49,88.1,89,70,69,,,,,,,,,,,,,,,,,,2,90
Morton College,Cicero,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,4886,14.9,14.6,43815,33727,60,31.8,3236,,,5460,87,,,4.5,20,15,28,41.7,50,71.7,93,23.3,20,,,,,,,,,,,,,,,,,,48,22.9
National-Louis University,Chicago,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,1427,48.4,24.2,29160,99440,6,54.9,1143,,,7371,18,7292,24,28.6,26,42.9,26,48.7,74,72.2,42,29.5,18,,,,,,,,,,,,,,,,,,50,0.4
North Central College,Naperville,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,2797,22.2,24.2,73835,99440,47,92.7,2686,,,15759,61,33860,68,51.1,64,63.9,68,23.9,21,78.8,60,49.3,46,,,,,,,,,,,,,,,,,,50,62.3
North Park University,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,2204,23.6,24.2,67683,99440,39,84.4,2009,,,10119,29,26877,61,39.1,44,56.3,52,36.9,49,80.6,66,38.7,31,,,,,,,,,,,,,,,,,,50,62.7
